Location,latitude,longitude,DrainageAreaSqMiles
Mill Creek near Antioch,36.08154,-86.68074,64
Mill Creek at Nolensville,36.00914,-86.70152,40.53
Mill Creek at Thompson Lane,36.11752,-86.71905,93.4
Mill Creek at Blackman Road,36.0725,-86.73333,12.2
