Site,date,time,variable,measurement
MC,10/4/2020,8:00:00 PM,Temp_C,7.07252719
MC,10/4/2020,8:30:00 PM,Temp_C,7.07252719
MC,10/4/2020,9:00:00 PM,Temp_C,7.677456722
MC,10/4/2020,9:30:00 PM,Temp_C,7.07252719
MC,10/4/2020,10:00:00 PM,Temp_C,7.677456722
MC,10/4/2020,10:30:00 PM,Temp_C,7.07252719
MC,10/4/2020,11:00:00 PM,Temp_C,7.07252719
MC,10/4/2020,11:30:00 PM,Temp_C,6.467597658
MC,10/3/2020,12:00:00 AM,SpC,-0.661233277
MC,10/3/2020,12:30:00 AM,SpC,-1.026449331
MC,10/3/2020,1:00:00 AM,SpC,-1.026449331
MC,10/3/2020,1:30:00 AM,SpC,-1.209057358
MC,10/3/2020,2:00:00 AM,SpC,-1.209057358
MC,10/3/2020,2:30:00 AM,SpC,-1.391665385
MC,10/3/2020,3:00:00 AM,SpC,-1.391665385
MC,10/3/2020,3:30:00 AM,SpC,-1.391665385
MC,10/3/2020,4:00:00 AM,SpC,-1.391665385
MC,10/3/2020,4:30:00 AM,SpC,-1.391665385
MC,10/3/2020,5:00:00 AM,SpC,-1.391665385
MC,10/3/2020,5:30:00 AM,SpC,-1.026449331
MC,10/3/2020,6:00:00 AM,SpC,-0.843841304
MC,10/3/2020,6:30:00 AM,SpC,-1.026449331
MC,10/3/2020,7:00:00 AM,SpC,-0.843841304
MC,10/3/2020,7:30:00 AM,SpC,-1.026449331
MC,10/3/2020,8:00:00 AM,SpC,-0.843841304
MC,10/3/2020,8:30:00 AM,SpC,-0.661233277
MC,10/3/2020,9:00:00 AM,SpC,-0.47862525
MC,10/3/2020,9:30:00 AM,SpC,-0.47862525
MC,10/3/2020,10:00:00 AM,SpC,-0.296017223
MC,10/3/2020,10:30:00 AM,SpC,-0.296017223
MC,10/3/2020,11:00:00 AM,SpC,-0.113409196
MC,10/3/2020,11:30:00 AM,SpC,0.069198831
MC,10/3/2020,12:00:00 PM,SpC,0.251806858
MC,10/3/2020,12:30:00 PM,SpC,0.251806858
MC,10/3/2020,1:00:00 PM,SpC,0.434414885
MC,10/3/2020,1:30:00 PM,SpC,0.617022913
MC,10/3/2020,2:00:00 PM,SpC,0.617022913
MC,10/3/2020,2:30:00 PM,SpC,1.347455021
MC,10/3/2020,3:00:00 PM,SpC,1.164846994
MC,10/3/2020,3:30:00 PM,SpC,1.347455021
MC,10/3/2020,4:00:00 PM,SpC,1.347455021
MC,10/3/2020,4:30:00 PM,SpC,1.347455021
MC,10/3/2020,5:00:00 PM,SpC,1.530063048
MC,10/3/2020,5:30:00 PM,SpC,1.347455021
MC,10/3/2020,6:00:00 PM,SpC,1.347455021
MC,10/3/2020,6:30:00 PM,SpC,0.982238967
MC,10/3/2020,7:00:00 PM,SpC,0.982238967
MC,10/3/2020,7:30:00 PM,SpC,0.79963094
MC,10/3/2020,8:00:00 PM,SpC,0.617022913
MC,10/3/2020,8:30:00 PM,SpC,0.069198831
MC,10/3/2020,9:00:00 PM,SpC,0.069198831
MC,10/3/2020,9:30:00 PM,SpC,0.069198831
MC,10/3/2020,10:00:00 PM,SpC,0.069198831
MC,10/3/2020,10:30:00 PM,SpC,0.069198831
MC,10/3/2020,11:00:00 PM,SpC,-0.113409196
MC,10/3/2020,11:30:00 PM,SpC,-0.296017223
MC,10/4/2020,12:00:00 AM,SpC,-0.661233277
MC,10/4/2020,12:30:00 AM,SpC,-0.47862525
MC,10/4/2020,1:00:00 AM,SpC,-0.843841304
MC,10/4/2020,1:30:00 AM,SpC,-0.843841304
MC,10/4/2020,2:00:00 AM,SpC,-0.661233277
MC,10/4/2020,2:30:00 AM,SpC,-0.843841304
MC,10/4/2020,3:00:00 AM,SpC,-0.661233277
MC,10/4/2020,3:30:00 AM,SpC,-0.843841304
MC,10/4/2020,4:00:00 AM,SpC,-0.843841304
MC,10/4/2020,4:30:00 AM,SpC,-0.661233277
MC,10/4/2020,5:00:00 AM,SpC,-0.47862525
MC,10/4/2020,5:30:00 AM,SpC,-0.296017223
MC,10/4/2020,6:00:00 AM,SpC,-0.296017223
MC,10/4/2020,6:30:00 AM,SpC,-0.296017223
MC,10/4/2020,7:00:00 AM,SpC,-0.296017223
MC,10/4/2020,7:30:00 AM,SpC,0.069198831
MC,10/4/2020,8:00:00 AM,SpC,0.069198831
MC,10/4/2020,8:30:00 AM,SpC,0.069198831
MC,10/4/2020,9:00:00 AM,SpC,0.069198831
MC,10/4/2020,9:30:00 AM,SpC,-0.113409196
MC,10/4/2020,10:00:00 AM,SpC,0.434414885
MC,10/4/2020,10:30:00 AM,SpC,0.617022913
MC,10/4/2020,11:00:00 AM,SpC,0.79963094
MC,10/4/2020,11:30:00 AM,SpC,0.617022913
MC,10/4/2020,12:00:00 PM,SpC,0.982238967
MC,10/4/2020,12:30:00 PM,SpC,1.347455021
MC,10/4/2020,1:00:00 PM,SpC,1.164846994
MC,10/4/2020,1:30:00 PM,SpC,NA
MC,10/4/2020,2:00:00 PM,SpC,1.530063048
MC,10/4/2020,2:30:00 PM,SpC,1.530063048
MC,10/4/2020,3:00:00 PM,SpC,1.895279102
MC,10/4/2020,3:30:00 PM,SpC,1.895279102
MC,10/4/2020,4:00:00 PM,SpC,1.347455021
MC,10/4/2020,4:30:00 PM,SpC,1.530063048
MC,10/4/2020,5:00:00 PM,SpC,1.164846994
MC,10/4/2020,5:30:00 PM,SpC,0.617022913
MC,10/4/2020,6:00:00 PM,SpC,0.79963094
MC,10/4/2020,6:30:00 PM,SpC,0.069198831
MC,10/4/2020,7:00:00 PM,SpC,-0.113409196
MC,10/4/2020,7:30:00 PM,SpC,0.069198831
MC,10/4/2020,8:00:00 PM,SpC,-0.113409196
MC,10/4/2020,8:30:00 PM,SpC,-0.296017223
