Begin,End,State
10/2/2020 7:44,10/2/2020 19:28,D
10/2/2020 19:28,10/3/2020 7:44,N
10/3/2020 7:44,10/3/2020 19:27,D
10/3/2020 19:27,10/4/2020 7:45,N
10/4/2020 7:45,10/4/2020 14:00,D
